X-Angle: -3.1380464121606204, Y-Angle: 0.026215058903146654, Z-Angle: -0.006449171800781925
x: -0.01144909288354723, y: 0.00031634151847910724, z: 0.2552342116130512
X-Angle: -3.1393098517283864, Y-Angle: 0.026678724497974333, Z-Angle: -0.011405240714415368
x: -0.012111860673776165, y: 0.0010547070230994633, z: 0.25596066583138327
X-Angle: -3.13091595651438, Y-Angle: 0.032877349549261935, Z-Angle: -0.006410429964446994
x: -0.012744172644790996, y: 9.630694245230647e-05, z: 0.25619514534676424
X-Angle: -3.138562919550205, Y-Angle: 0.02383295317343665, Z-Angle: -0.006650861790424853
x: -0.012720333825526346, y: -0.000974395443921303, z: 0.25615001995521747
X-Angle: -3.1357658872967034, Y-Angle: 0.02746586117434594, Z-Angle: -0.0073713019593965425
x: -0.012940926584477421, y: -0.004910925060138629, z: 0.2595237724160231
X-Angle: -3.137263594332974, Y-Angle: 0.009868896061757731, Z-Angle: -0.009319310062073064
